AQ1,BQ1,CQ1,DQ1,EQ1,FQ1,GQ1,HQ1,IQ1,JQ1,KQ1,LQ1,MQ1,NQ1,OQ1,PQ1,AQ2,BQ2,CQ2,DQ2,EQ2,FQ2,GQ2,HQ2,IQ2,JQ2,KQ2,LQ2,MQ2,NQ2,OQ2,PQ2,AQ3,BQ3,CQ3,DQ3,EQ3,FQ3,GQ3,HQ3,IQ3,JQ3,KQ3,LQ3,MQ3,NQ3,OQ3,PQ3,AQ4,BQ4,CQ4,DQ4,EQ4,FQ4,GQ4,HQ4,IQ4,JQ4,KQ4,LQ4,MQ4,NQ4,OQ4,PQ4
96.06, 3.94, 2.6, 1.34, 0.06, 1.39, 1.06, 1.05, 61.83, 4.75, 15.82, 15.29, 84.71, -1.2, 13.63, 3.92, 95.76, 4.24, 2.66, 1.57, -0.27, 1.3, 0.99, 0.52, 57.45, 5.44, 17.94, 16.68, 83.32, -1.55, 15, 4.3, 95.59, 4.41, 3.01, 1.4, 0.29, 1.69, 1.19, 1.16, 59.97, 5.67, 16.2, 15.38, 84.62, -1.47, 14.17, 3.78, 95.61, 4.39, 2.64, 1.75, -0.31, 1.44, 1.2, 0.24, 61.37, 6.4, 15.77, 13.75, 86.25, -1.89, 13.22, 3.52
95.76, 4.24, 2.66, 1.57, -0.27, 1.3, 0.99, 0.52, 57.45, 5.44, 17.94, 16.68, 83.32, -1.55, 15, 4.3, 95.59, 4.41, 3.01, 1.4, 0.29, 1.69, 1.19, 1.16, 59.97, 5.67, 16.2, 15.38, 84.62, -1.47, 14.17, 3.78, 95.61, 4.39, 2.64, 1.75, -0.31, 1.44, 1.2, 0.24, 61.37, 6.4, 15.77, 13.75, 86.25, -1.89, 13.22, 3.52, 95.72, 4.28, 2.84, 1.44, 0.1, 1.54, 1.17, 1, 60.29, 7.35, 15.93, 13.41, 86.59, -1.33, 12.75, 3.39
95.59, 4.41, 3.01, 1.4, 0.29, 1.69, 1.19, 1.16, 59.97, 5.67, 16.2, 15.38, 84.62, -1.47, 14.17, 3.78, 95.61, 4.39, 2.64, 1.75, -0.31, 1.44, 1.2, 0.24, 61.37, 6.4, 15.77, 13.75, 86.25, -1.89, 13.22, 3.52, 95.72, 4.28, 2.84, 1.44, 0.1, 1.54, 1.17, 1, 60.29, 7.35, 15.93, 13.41, 86.59, -1.33, 12.75, 3.39, 95.83, 4.17, 2.6, 1.57, -0.8, 0.78, 0.59, -1.38, 59.49, 7.45, 16.98, 12.73, 87.27, -2.47, 13.32, 3.55
95.61, 4.39, 2.64, 1.75, -0.31, 1.44, 1.2, 0.24, 61.37, 6.4, 15.77, 13.75, 86.25, -1.89, 13.22, 3.52, 95.72, 4.28, 2.84, 1.44, 0.1, 1.54, 1.17, 1, 60.29, 7.35, 15.93, 13.41, 86.59, -1.33, 12.75, 3.39, 95.83, 4.17, 2.6, 1.57, -0.8, 0.78, 0.59, -1.38, 59.49, 7.45, 16.98, 12.73, 87.27, -2.47, 13.32, 3.55, 96.35, 3.65, 3.24, 0.42, 0.09, 0.51, 0.2, 0.51, 59.6, 7.88, 16.14, 13.16, 86.84, -2.31, 13.68, 3.38
95.72, 4.28, 2.84, 1.44, 0.1, 1.54, 1.17, 1, 60.29, 7.35, 15.93, 13.41, 86.59, -1.33, 12.75, 3.39, 95.83, 4.17, 2.6, 1.57, -0.8, 0.78, 0.59, -1.38, 59.49, 7.45, 16.98, 12.73, 87.27, -2.47, 13.32, 3.55, 96.35, 3.65, 3.24, 0.42, 0.09, 0.51, 0.2, 0.51, 59.6, 7.88, 16.14, 13.16, 86.84, -2.31, 13.68, 3.38, 96.57, 3.43, 2.17, 1.26, 0.02, 1.29, 1.06, 0.9, 65.02, 6.1, 14.65, 11.27, 88.73, -2.09, 11.88, 2.94
95.83, 4.17, 2.6, 1.57, -0.8, 0.78, 0.59, -1.38, 59.49, 7.45, 16.98, 12.73, 87.27, -2.47, 13.32, 3.55, 96.35, 3.65, 3.24, 0.42, 0.09, 0.51, 0.2, 0.51, 59.6, 7.88, 16.14, 13.16, 86.84, -2.31, 13.68, 3.38, 96.57, 3.43, 2.17, 1.26, 0.02, 1.29, 1.06, 0.9, 65.02, 6.1, 14.65, 11.27, 88.73, -2.09, 11.88, 2.94, 96.4, 3.6, 2.56, 1.04, -0.12, 0.91, 0.69, 0.18, 63.84, 6.26, 15.57, 11.44, 88.56, -2.45, 12.16, 3.01
96.35, 3.65, 3.24, 0.42, 0.09, 0.51, 0.2, 0.51, 59.6, 7.88, 16.14, 13.16, 86.84, -2.31, 13.68, 3.38, 96.57, 3.43, 2.17, 1.26, 0.02, 1.29, 1.06, 0.9, 65.02, 6.1, 14.65, 11.27, 88.73, -2.09, 11.88, 2.94, 96.4, 3.6, 2.56, 1.04, -0.12, 0.91, 0.69, 0.18, 63.84, 6.26, 15.57, 11.44, 88.56, -2.45, 12.16, 3.01, 96.62, 3.38, 2.33, 1.05, -0.07, 0.98, 0.81, 0.08, 62.24, 6.15, 17.02, 10.29, 89.71, -3.13, 12.82, 3.14
54.23, 45.77, 12.34, 33.47, 0.99, 34.46, 29.78, 34.23, 14.9, 12.7, 42.2, 71.95, 28.05, 0.29, 24.42, 5.25, 50.98, 49.02, 12.06, 36.97, 1.53, 38.5, 33.2, 36.83, 20.83, 15.39, 36.07, 69.87, 30.13, 0.75, 22.16, 4.77, 51.44, 48.56, 11.85, 36.67, -0.16, 36.51, 31.94, 35.63, 12.59, 19.11, 40.25, 71.28, 28.72, 1.25, 22.02, 4.74, 52.94, 47.06, 11.99, 35.08, 1.01, 36.09, 31.49, 34.23, 15.03, 17.85, 41.03, 71.62, 28.38, 1.12, 20.53, 4.42
50.98, 49.02, 12.06, 36.97, 1.53, 38.5, 33.2, 36.83, 20.83, 15.39, 36.07, 69.87, 30.13, 0.75, 22.16, 4.77, 51.44, 48.56, 11.85, 36.67, -0.16, 36.51, 31.94, 35.63, 12.59, 19.11, 40.25, 71.28, 28.72, 1.25, 22.02, 4.74, 52.94, 47.06, 11.99, 35.08, 1.01, 36.09, 31.49, 34.23, 15.03, 17.85, 41.03, 71.62, 28.38, 1.12, 20.53, 4.42, 52.52, 47.48, 12.06, 35.44, 0.53, 35.96, 32.28, 33.91, 13.43, 17.43, 43.59, 72.6, 27.4, 1.28, 19.96, 4.3
51.44, 48.56, 11.85, 36.67, -0.16, 36.51, 31.94, 35.63, 12.59, 19.11, 40.25, 71.28, 28.72, 1.25, 22.02, 4.74, 52.94, 47.06, 11.99, 35.08, 1.01, 36.09, 31.49, 34.23, 15.03, 17.85, 41.03, 71.62, 28.38, 1.12, 20.53, 4.42, 52.52, 47.48, 12.06, 35.44, 0.53, 35.96, 32.28, 33.91, 13.43, 17.43, 43.59, 72.6, 27.4, 1.28, 19.96, 4.3, 50.17, 49.83, 11.07, 38.64, 1.85, 40.49, 32.6, 30.9, 18.34, 16.46, 40.74, 65.86, 34.14, 1, 19.28, 4.17
52.94, 47.06, 11.99, 35.08, 1.01, 36.09, 31.49, 34.23, 15.03, 17.85, 41.03, 71.62, 28.38, 1.12, 20.53, 4.42, 52.52, 47.48, 12.06, 35.44, 0.53, 35.96, 32.28, 33.91, 13.43, 17.43, 43.59, 72.6, 27.4, 1.28, 19.96, 4.3, 50.17, 49.83, 11.07, 38.64, 1.85, 40.49, 32.6, 30.9, 18.34, 16.46, 40.74, 65.86, 34.14, 1, 19.28, 4.17, 49.49, 50.51, 10.11, 40.39, 0.45, 40.84, 36.5, 38.12, 12.76, 16.38, 46.25, 64.72, 35.28, 1.25, 19.21, 4.14
52.52, 47.48, 12.06, 35.44, 0.53, 35.96, 32.28, 33.91, 13.43, 17.43, 43.59, 72.6, 27.4, 1.28, 19.96, 4.3, 50.17, 49.83, 11.07, 38.64, 1.85, 40.49, 32.6, 30.9, 18.34, 16.46, 40.74, 65.86, 34.14, 1, 19.28, 4.17, 49.49, 50.51, 10.11, 40.39, 0.45, 40.84, 36.5, 38.12, 12.76, 16.38, 46.25, 64.72, 35.28, 1.25, 19.21, 4.14, 50.48, 49.52, 10.6, 38.79, 0.81, 39.6, 34.58, 36.13, 13.44, 16.62, 47.12, 58.09, 41.91, 1.72, 17.34, 3.74
